Year,Station,Month,Rainfall,StationIndex
2003,Sylhet,10,237,31
2003,Sylhet,11,0,31
2003,Sylhet,12,7,31
2004,Sylhet,1,1,31
2004,Sylhet,2,8,31
2004,Sylhet,3,40,31
2004,Sylhet,4,622,31
2004,Sylhet,5,371,31
2004,Sylhet,6,553,31
2004,Sylhet,7,1394,31
2004,Sylhet,8,545,31
2004,Sylhet,9,478,31
2004,Sylhet,10,235,31
2004,Sylhet,11,5,31
2004,Sylhet,12,12,31
2005,Sylhet,1,0,31
2005,Sylhet,2,48,31
2005,Sylhet,3,388,31
2005,Sylhet,4,296,31
2005,Sylhet,5,895,31
2005,Sylhet,6,354,31
2005,Sylhet,7,978,31
2005,Sylhet,8,626,31
2005,Sylhet,9,319,31
2005,Sylhet,10,259,31
2005,Sylhet,11,0,31
2005,Sylhet,12,0,31
2006,Sylhet,1,0,31
2006,Sylhet,2,62,31
2006,Sylhet,3,16,31
2006,Sylhet,4,353,31
2006,Sylhet,5,572,31
2006,Sylhet,6,1288,31
2006,Sylhet,7,436,31
2006,Sylhet,8,424,31
2006,Sylhet,9,288,31
2006,Sylhet,10,72,31
2006,Sylhet,11,12,31
2006,Sylhet,12,3,31
2007,Sylhet,1,0,31
2007,Sylhet,2,34,31
2007,Sylhet,3,41,31
2007,Sylhet,4,481,31
2007,Sylhet,5,669,31
2007,Sylhet,6,869,31
2007,Sylhet,7,786,31
2007,Sylhet,8,578,31
2007,Sylhet,9,594,31
2007,Sylhet,10,142,31
2007,Sylhet,11,144,31
2007,Sylhet,12,0,31
2008,Sylhet,1,19,31
2008,Sylhet,2,35,31
2008,Sylhet,3,165,31
2008,Sylhet,4,162,31
2008,Sylhet,5,501,31
2008,Sylhet,6,648,31
2008,Sylhet,7,604,31
2008,Sylhet,8,761,31
2008,Sylhet,9,264,31
2008,Sylhet,10,192,31
2008,Sylhet,11,0,31
2008,Sylhet,12,0,31
2009,Sylhet,1,0,31
2009,Sylhet,2,20,31
2009,Sylhet,3,63,31
2009,Sylhet,4,427,31
2009,Sylhet,5,576,31
2009,Sylhet,6,469,31
2009,Sylhet,7,599,31
2009,Sylhet,8,674,31
2009,Sylhet,9,323,31
2009,Sylhet,10,136,31
2009,Sylhet,11,0,31
2009,Sylhet,12,0,31
2010,Sylhet,1,0,31
2010,Sylhet,2,1,31
2010,Sylhet,3,147,31
2010,Sylhet,4,804,31
2010,Sylhet,5,728,31
2010,Sylhet,6,946,31
2010,Sylhet,7,528,31
2010,Sylhet,8,767,31
2010,Sylhet,9,732,31
2010,Sylhet,10,231,31
2010,Sylhet,11,10,31
2010,Sylhet,12,45,31
2011,Sylhet,2,3,31
2011,Sylhet,3,99,31
2011,Sylhet,4,78,31
2011,Sylhet,5,403,31
2011,Sylhet,6,578,31
2011,Sylhet,7,673,31
2011,Sylhet,8,722,31
2011,Sylhet,9,490,31
2011,Sylhet,10,55,31
2011,Sylhet,11,0,31
2011,Sylhet,12,0,31
2012,Sylhet,1,10,31
2012,Sylhet,2,0,31
2012,Sylhet,3,101,31
2012,Sylhet,4,659,31
2012,Sylhet,5,406,31
2012,Sylhet,6,1185,31
2012,Sylhet,7,700,31
2012,Sylhet,8,738,31
2012,Sylhet,9,261,31
2012,Sylhet,10,502,31
2012,Sylhet,11,48,31
2012,Sylhet,12,0,31
2013,Sylhet,1,0,31
2013,Sylhet,2,7,31
2013,Sylhet,3,16,31
2013,Sylhet,4,229,31
2013,Sylhet,5,959,31
2013,Sylhet,6,729,31
2013,Sylhet,7,567,31
2013,Sylhet,8,520,31
2013,Sylhet,9,347,31
2013,Sylhet,10,451,31
2013,Sylhet,11,0,31
2013,Sylhet,12,0,31
2014,Sylhet,1,0,31
2014,Sylhet,2,34,31
2014,Sylhet,3,78,31
2014,Sylhet,4,118,31
2014,Sylhet,5,540,31
2014,Sylhet,6,724,31
2014,Sylhet,7,316,31
2014,Sylhet,8,797,31
2014,Sylhet,9,732,31
2014,Sylhet,10,33,31
2014,Sylhet,11,0,31
2014,Sylhet,12,0,31
